------------------------------------------
Baseline:
Word Error Rate = 10.21233769578534
Known Word WER = 8.524753598755025
Unknown Word WER = 84.18902114052229
	RP	RB	PDT	JJ	VB	EX	CD	IN	NN	WDT	LS	VBN	VBD	VBG	VBP	NNP	VBZ	NNS	RBR	CC	UH	POS	NNPS	JJR	FW	DT	MD	RBS	JJS	PRP	WP	PRP$	SYM	NPS	TO	,
RP	-	-	-	0.76	-	-	-	-	0.46	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBN	0.01	-	0.06	-	2.84	2.91	0.35	-	0.01	-	0.02	-	0.01	0.11	0.33	-	-	0.06	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG	0.00	-	0.09	-	1.41	0.06	2.15	-	-	0.16	0.05	-	-	0.14	0.56	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNS	-	-	0.18	-	0.70	-	2.43	-	0.03	0.13	0.01	0.03	0.07	0.03	2.35	0.56	-	-	-	0.56	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DT	0.00	-	-	0.75	0.02	-	0.04	0.56	0.39	-	-	-	0.02	-	0.03	-	-	-	-	-	-	0.07	-	0.30	0.00	-	-	-	-	-	-	-	-	-	-	-	-
VBD	-	-	0.00	-	0.27	-	0.14	-	-	4.15	0.09	-	0.00	0.10	0.38	-	-	0.01	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-
NNP	0.32	0.00	0.27	0.04	2.61	0.03	1.91	-	0.14	0.04	0.00	-	0.49	0.05	-	2.24	-	0.05	-	0.04	0.14	-	0.00	-	0.01	-	-	0.01	-	0.00	-	-	-	-	0.00	-	-
VB	-	-	0.14	0.00	0.27	0.09	0.83	-	0.07	0.09	1.92	0.00	0.00	-	0.37	-	-	0.05	0.02	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ	0.08	0.07	0.55	0.16	-	0.09	3.07	-	1.37	1.98	0.09	0.00	0.15	0.25	2.96	-	0.00	0.50	0.01	-	0.02	-	-	0.14	0.03	-	-	0.01	-	-	0.01	-	-	0.00	-	-	-
JJR	-	-	-	-	0.13	-	0.04	-	0.02	-	-	-	-	0.00	0.04	-	0.77	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CD	0.21	-	-	-	1.59	-	0.42	-	-	0.07	0.00	-	0.01	0.07	0.95	-	-	0.02	-	0.00	-	-	-	-	0.04	-	-	-	-	-	0.00	-	-	-	-	-	-
CC	-	-	-	0.03	-	-	-	-	0.15	-	-	-	0.01	-	-	-	0.01	-	0.00	-	0.08	-	-	0.02	-	-	-	-	-	-	-	-	-	-	-	-	-
NN	0.59	0.00	0.35	0.03	6.77	0.10	-	-	0.19	0.15	0.23	0.00	0.18	0.44	5.68	-	-	1.52	0.00	0.00	0.01	-	-	0.01	0.03	-	-	0.00	-	-	-	-	0.00	-	-	0.00	-
RB	0.03	1.71	0.01	3.21	1.55	0.01	0.63	-	-	0.11	0.01	0.02	0.01	0.08	0.59	-	0.37	0.01	0.06	0.00	0.18	0.07	-	0.01	-	0.06	-	0.03	-	-	-	0.02	-	-	-	-	-
RBR	-	-	-	0.00	0.04	0.00	0.00	-	0.22	0.00	-	-	-	-	0.00	-	-	-	1.09	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WDT	-	-	-	0.36	0.00	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	0.03	-	-	-	-	-	-	-	0.07	-	-	-	-	-	-	-	-
JJS	0.00	-	-	-	0.08	-	0.00	-	0.00	0.00	0.00	-	-	-	0.02	-	0.00	-	-	-	-	-	-	-	-	-	0.31	-	-	-	-	-	-	-	-	-	-
PRP	0.00	-	0.00	-	0.00	-	0.00	-	-	-	-	-	-	-	0.04	-	-	-	-	0.00	-	-	0.00	-	-	-	-	-	-	0.03	-	-	-	-	-	-	-
