------------------------------------------
Baseline:
Word Error Rate = 10.071497213146262
Known Word WER = 8.380738218886735
Unknown Word WER = 84.4663553018509
	NNS	JJ	RB	NN	VB	UH	RBR	VBZ	POS	WDT	VBD	CD	IN	RP	EX	VBN	VBP	RBS	VBG	NNP	NNPS	DT	PDT	CC	PRP$	LS	FW	JJS	JJR	SYM	MD	WP	PRP	NPS
SYM	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-
JJ|NN	0.00	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PRP$	-	-	-	-	-	-	-	-	0.00	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG|NN	0.00	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RB|JJ	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBP|VBD	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
------------------------------------------
Dave's Bi-gram Tagger:
Word Error Rate = 4.590044205266192
Known Word WER = 3.6765486360366237
Unknown Word WER = 44.78463933575506
	JJ	NNS	VBP	UH	VBD	CD	IN	RP	NNP	NN	VBN	RB	PRP	NNPS	DT	PDT	VBG	PRP$	FW	RBR	VB	POS	VBZ	JJR	SYM	WDT	LS	WP	JJS	NPS	CC	MD	RBS	EX	''
NN	6.74	0.72	0.28	-	0.12	0.35	0.01	0.01	5.87	-	0.15	0.16	0.04	-	0.01	0.01	1.53	-	0.13	-	0.52	-	0.02	0.00	-	-	-	-	-	-	-	0.01	-	-	-
