Word Error Rate = 9.937543814624286
Known WER = 8.355191659121873
Unknown WER = 84.72396544929997
	VB	LS	VBN	NNPS	VBD	WDT	RB	NN	RBS	PDT	RBR	VBP	POS	DT	NNS	IN	RP	CC	VBG	NNP	JJ	UH	PRP$	VBZ	EX	JJR	FW	CD	TO	PRP	JJS	MD	SYM	NPS	WP	$	,
RB|JJ	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VBN|VBD	0	0	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NNS|VBZ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0
RB|IN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
:	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JJ|NNP	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VB|IN	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
``	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NN|CD	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBS|JJS	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NNPS|NNS	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WP	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JJ|JJR	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
$	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NN|POS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JJ|RB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
------------------------
Word Error Rate = 4.469347110183438
Known WER = 3.6308110906360307
Unknown WER = 44.10146044626913
	VBD	IN	NPS	VB	NN	WDT	RB	VBP	DT	NNS	JJ	VBN	NNP	VBG	PDT	CD	PRP$	VBZ	JJR	PRP	POS	NNPS	RP	FW	CC	JJS	RBR	TO	RBS	LS	EX	UH	MD	WP	''	SYM	,
VBP	0.15	0.02	0	2.13	0.77	0	0.01	0	0	0.00	0.06	0.08	0.15	0.00	0	0.01	0	0.00	0.00	0.00	0	0.00	0	0.00	0	0	0	0	0	0	0	0	0.00	0	0	0	0
RB	0.00	3.08	0.00	0.09	0.62	0	0	0.01	0.17	0.01	1.46	0.14	0.42	0.01	0.02	0.02	0	0.00	0.03	0	0	0	1.72	0.00	0.06	0.01	0.39	0	0.00	0.00	0.06	0.03	0	0	0	0	0
VBN	2.95	0	0.00	0.13	0.36	0	0.00	0.02	0	0.01	2.96	0	0.35	0.10	0	0.08	0	0.00	0	0	0	0	0	0.00	0	0	0	0	0	0.00	0	0	0	0	0	0	0
NN	0.08	0.01	0.01	0.57	0	0.00	0.17	0.24	0.01	0.72	7.00	0.14	5.80	1.44	0.01	0.31	0	0.04	0.00	0.06	0	0.00	0.00	0.12	0.00	0.00	0	0.00	0	0.00	0	0.00	0.01	0	0	0.00	0
NNS	0.00	0	0.01	0.04	2.25	0	0.05	0.02	0	0	0.82	0.13	2.05	0.00	0	0.15	0	0.69	0	0	0	0.56	0	0.04	0	0	0	0	0	0	0	0.00	0	0	0	0	0
IN	0.00	0	0	0.00	0.01	0.22	2.94	0.00	0.55	0	0.19	0	0.06	0.01	0	0.00	0	0.00	0	0	0	0	2.30	0.04	0.03	0	0	0.00	0	0	0	0	0	0	0	0.00	0
DT	0	0.72	0	0	0.06	0.54	0.39	0	0	0	0.03	0	0.02	0	0.30	0	0	0	0	0.00	0	0	0	0.00	0.11	0	0	0	0	0.00	0	0	0	0	0	0	0
