------------------------------------------
Baseline:
Word Error Rate = 10.800970873786406
Known Word WER = 8.51213450642885
Unknown Word WER = 84.25398779299378
	NN	NNS	JJ	PDT	IN	VBD	VBN	RB	RP	VB	VBG	NNP	WDT	CD	EX	RBS	VBP	RBR	POS	DT	NNPS	LS	CC	UH	VBZ	JJR	PRP$	FW	JJS	MD	PRP	WP	TO	SYM
Word Error Rate = 4.994327270021947
Known Word WER = 3.764134282677663
Unknown Word WER = 44.47350874493512
	JJ	NNS	IN	VBG	VBD	VBN	NN	RB	NNP	RP	CD	VB	RBS	WDT	VBP	DT	JJR	PRP	VBZ	UH	RBR	NNPS	PDT	PRP$	JJS	FW	POS	CC	LS	EX	WP	TO	SYM	MD	''
NNP	2.96	0.34	0.03	0.05	0.04	0.12	2.23	0.10	-	0.00	0.34	0.09	-	-	0.02	0.15	0.00	0.01	0.03	0.00	-	1.87	-	0.00	0.01	0.29	0.01	0.00	0.00	-	-	-	-	-	-
VBZ	0.16	1.07	-	0.10	0.22	0.02	0.22	-	0.35	-	0.04	0.05	-	-	0.05	-	-	-	-	-	-	0.00	-	-	-	0.00	0.20	-	-	-	-	-	0.00	-	-
NN	6.38	0.72	0.02	1.29	0.10	0.19	-	0.15	5.86	0.00	0.36	0.49	-	-	0.20	0.01	0.00	0.06	0.08	0.00	-	-	0.00	-	-	0.08	-	0.00	-	-	-	0.00	-	0.01	-
RP	0.00	-	0.62	-	-	-	-	0.34	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RB	1.44	0.06	2.95	0.03	0.01	0.14	0.66	-	0.63	1.58	0.05	0.08	-	-	0.03	0.17	0.05	-	0.01	0.19	0.40	-	0.03	-	0.00	0.00	-	0.06	0.00	0.08	-	-	-	-	-
VBN	2.77	0.03	-	0.13	2.79	-	0.42	0.01	0.50	-	0.10	0.10	-	-	0.02	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBP	0.10	0.01	0.01	0.03	0.19	0.09	0.84	0.01	0.17	-	0.01	2.02	-	-	-	-	0.00	0.00	0.02	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-
JJ	-	0.11	0.11	0.43	0.11	1.87	3.31	1.46	3.54	0.04	0.69	0.22	-	-	0.04	0.02	0.01	0.01	0.01	0.02	0.00	-	0.11	-	0.01	0.04	-	0.00	0.01	-	-	-	-	-	-
IN	0.17	-	-	0.02	0.00	-	0.00	2.45	0.07	2.18	-	0.01	-	0.19	0.00	0.48	-	-	0.00	-	-	-	-	-	-	0.07	-	0.04	-	-	-	0.00	-	-	-
NNS	0.92	-	-	0.02	0.02	0.18	2.93	0.07	2.54	-	0.17	0.05	-	-	0.03	-	-	-	0.66	-	-	0.46	-	-	-	0.02	-	-	-	-	-	-	-	-	-
VB	0.26	0.00	0.02	0.08	0.12	0.20	0.91	0.03	0.28	0.00	0.20	-	-	-	1.62	0.00	0.03	-	0.00	0.00	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-
VBG	1.42	0.01	-	-	0.07	0.25	1.85	0.00	0.48	-	0.09	0.09	-	-	0.05	-	-	-	0.06	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-
JJS	0.08	0.00	-	-	-	0.00	0.03	0.00	0.01	-	-	-	0.23	-	-	-	0.00	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DT	0.03	0.00	0.63	0.00	-	-	0.05	0.40	0.02	-	-	-	-	0.50	-	-	-	0.00	-	-	-	-	0.27	-	-	0.01	-	0.13	-	-	-	-	-	-	-
NNPS	0.10	0.34	-	-	0.00	0.01	0.20	0.00	1.25	-	0.01	0.00	-	-	0.00	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBD	0.22	0.01	0.00	0.07	-	3.89	0.23	-	0.34	-	0.02	0.12	-	-	0.13	-	-	-	0.09	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-
CD	1.63	0.26	-	0.04	-	0.08	0.53	0.00	1.02	-	-	0.13	-	-	0.01	0.00	-	0.07	0.00	-	-	-	0.00	-	-	0.00	-	-	0.01	-	-	-	-	-	-
